R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
907608,913223,910166,912526,1463315,1191255,916968,941037,908595,1057085,1210387,1258298,957345,962265,1124261,906591,1079244,975113,906602,916753,900415,909747,918532,914642,974848,906373,915027,909389,902970,1022306,942020,1065827,979442,898803,956846,912196,902165,908454,917053,912736,907659,983824,920212,1089493,1181875,1079359,983868,1074305,975480,1087709,
1077527,1206420,1146619,1346781,1373267,1042078,1092905,1125171,1037916,1382034,1280373,1048570,1042791,1299341,1042481,1053453,1095000,1040138,1350381,1293611,1190345,1119078,1414659,1058021,1021998,1086108,1037073,1100734,1041712,1043250,1086792,1025863,1102582,1039937,1048089,1094810,1034511,1089582,1037618,1055989,1091018,1028807,1069803,1082427,1036680,1085863,1037429,1037736,1032161,1052859,
1235185,1176420,1177701,1235836,1694654,1191676,1187881,1213191,1181609,1394249,1631612,1233413,1261051,1411263,1355830,1480861,1319153,1301816,1510486,1404281,1283398,1201336,1217269,1517056,1265697,1343361,1425252,1288300,1222739,1224716,1234228,1183578,1212450,1169227,1186594,1242669,1173047,1162210,1212983,1175915,1175529,1160782,1179218,1259325,1176754,1172370,1236500,1175290,1192562,1234702,
1336074,1335585,1372359,1396503,1885078,1506237,1456213,1418321,1596229,1836958,1327745,1316752,1393910,1334247,1308138,1408387,1331457,1363367,1388309,1302838,1333468,1311434,1390975,1390656,1330581,1382106,1319885,1494442,1363038,1596680,1673527,1342710,1403482,1338529,1587867,1348576,1410560,1388659,1401424,1409381,1627024,1381326,1351741,1535987,1348255,1431966,1387420,1398019,1734855,1384768,
1537374,1580492,1491431,1746659,1646663,1566927,1561575,1491556,1626153,1858911,1533179,1654571,1488541,1477112,1639107,1640555,1703553,1686841,1775975,1503652,1530392,1547457,1514622,1536027,1581525,1616187,1566492,1492307,1491031,1556701,1500188,1490943,1542493,1533313,1500436,1512396,1571229,1494618,1490364,1532179,1539335,1487955,1492834,1536945,1491502,1497658,1552009,1555731,1476094,1487178,
1728067,1747485,1690872,1943826,1820161,1872541,1937658,2102230,1960502,1956524,1691275,1935890,1699093,1736390,2077709,1756398,1914210,1731972,1785866,1877528,1817584,1723024,1677885,1680963,1679428,1709784,1683301,1653062,1688761,1729392,1715782,1669640,1676476,1723804,1718634,1743119,1657519,1727786,1959537,1782196,1709027,1683872,1816802,1856366,1743405,1724251,1670355,1693880,1745797,2085684,
1905482,1871610,1895708,2351674,1900538,1878908,1874597,2309988,2247508,1975702,2008592,1985424,2060883,1976294,2035043,1987404,1869426,1877682,1935996,2054131,2009762,1945058,1865719,1888800,1837412,2072503,2005471,1910360,1927845,1982505,2169564,1884978,1906407,2016510,1912031,1934359,1874701,1876685,1863214,1915618,2054962,1903059,2100961,1864182,1878953,1882709,1934575,1927099,1914425,1875547,
2083533,2087316,2122960,2619212,2061606,2142330,2179528,2881124,2083590,2097351,2064305,2115954,2078440,2138430,2133931,2133610,2106587,2042490,2094000,2075586,2078477,2101373,2118339,2097109,2116785,2078181,2075087,2570210,2067802,2065041,2235673,2172959,2064045,2204424,2283874,2203286,2169168,2404418,2412741,2094717,2126413,2135771,2089434,2077763,2125103,2211474,2104266,2123026,2096989,2410710,
2653073,2446198,2666607,2320579,2301637,2325872,2663622,2423275,2363950,2395961,2369995,2355556,2379936,2353233,2440189,2358197,2325592,2322305,2297306,2298669,2294352,2282289,2309141,2346964,2362085,2333276,2371628,2367341,2353370,2332155,2334991,2359119,2302205,2413430,2432220,2291533,2294086,2298051,2284123,2295847,2286486,2350769,2347097,2408020,2325731,2336960,2331142,2417323,2370046,2322982,
2637737,2630885,2874580,2602915,2665210,2796757,3650772,2619402,2630936,2607171,2637531,2639451,2668259,2658469,2593767,2649083,2660990,2633260,2669191,2659217,2643560,2621668,2606765,2648202,2576504,2651600,2656073,2629397,2627744,2670966,2620984,2638873,2546966,2776961,2615496,2622652,2581020,2571957,2649176,2616017,2595313,2569633,2690411,2692843,2579011,2576483,2569042,2532475,2524814,2525732,
2895891,2862119,3738474,2920566,3095003,3406401,2996660,2907523,3064278,3025413,3086190,2931276,3069320,2839137,2864309,2853651,2848011,2952185,2934677,3237486,2988935,2979993,2894515,3098971,3344419,2960508,2835418,2879436,2831323,2810251,2825885,2849829,2897546,2879857,2865661,2849061,3057146,3174499,2909360,2816892,2868703,2880056,2874351,2894487,2907203,2876613,2884972,2891685,2907850,2851913,
3153296,3237935,3553669,3288165,3287574,4235737,3220847,3239287,3183292,3310318,3229247,3100047,3259684,3244010,3437973,3305874,3166668,3157711,3448361,3206299,3163616,3217038,3146680,3175070,3399552,3253741,3154766,3412284,3558831,3229095,3210257,3141103,3166492,3133999,3180332,3179699,3105210,3088379,3139606,3208908,3176356,3214531,3184431,3139242,3091040,3406327,3139071,3194885,3161181,3237848,
3482668,3450260,4099952,3416751,3512438,4470316,3496065,3454281,3436321,3386924,3426392,3536505,3401401,3432671,3445217,3649523,3478973,3549880,3664466,3693233,3538816,3604603,3536991,3511686,3564626,3563182,3531235,3516595,3662630,3627803,3583174,3585265,3628853,3418988,3351430,3455387,3401935,3469606,3387303,3388978,3426584,3386294,3523068,3577556,3545625,3560766,3457936,3698478,3608133,3433773,
3736054,3792145,4256701,3738111,4184064,4131028,3904825,3753243,4039671,3707660,4100072,3780882,3955859,3797011,3828321,4044798,3696578,3918597,3810711,3758822,3897134,3718738,3776315,3746734,3742039,3724083,3762754,3849497,3899394,3803962,3769200,3773799,3772596,3772352,3790488,3769518,3743398,3728745,3795925,3847918,3905154,3960661,3756169,3745923,3802066,3824698,3811744,3854119,3935580,3703191,
4228607,4365694,4108922,4077711,5142195,4106857,4351704,4359288,4352470,4175588,4049981,4080871,4237151,4194803,4221343,4203995,4229786,4095423,4015152,4213371,4350958,4491860,4270930,4254454,4133866,4343636,4329805,4216945,4185428,4030045,4207658,4112898,4138273,4051400,4461154,4370590,4259705,4207332,4053182,4476816,4453401,4389302,4217615,4130017,4067750,4099720,4203542,4145870,4155431,4098306,
4540495,4772912,4425808,4506996,5481479,4475886,4524593,4387762,4592094,4862014,4613152,4564334,4676688,4626467,4652010,4641433,4395592,4315881,4409622,4410518,4518217,4534209,4541973,4446440,4486049,4474023,4385872,4371178,4413282,4365955,4416956,4415825,4422603,4381681,4395436,4346043,4390368,4375125,4553016,4535277,4541831,4645747,4465620,4385906,4502240,4448153,4414487,4410700,4532028,4455738,
4776726,5719420,4878173,5228684,5155490,4915595,4913729,4761256,4822544,5109547,4969212,4989643,4787697,5023640,4841948,4976292,4863138,4764820,4817065,4791195,4785971,4844718,4961283,4802095,4786264,4731526,4788541,5044276,5144233,4984246,4887419,4944931,5088101,4907798,5565012,5365536,4793489,5620011,4790808,5049995,4748509,5017719,4770953,4946622,4769302,4872672,4759680,5161993,4932996,5608677,
5407721,5588110,5474343,5480734,6128839,5294336,5162811,5408887,5207073,5301003,5258926,5447248,5557798,5293663,5243326,5167598,5307156,5220664,5157979,5258239,5240176,5228826,5227167,5303007,5335150,5184736,5242735,5119108,5268129,5175726,5309092,5183171,5247101,5255840,5266578,5206888,5278397,5200582,5193842,5217585,5352288,5349840,5363961,5161413,5238795,5184866,5210971,5177802,5224961,5311254,
5701993,6422784,5586380,7092497,5906336,5718651,5725088,5661924,5944085,5777209,5645269,5637006,5690258,5706237,5722750,5563873,5835065,5720945,5708075,5599162,5750827,5669912,5679383,5596883,5751769,5695637,5757080,5685310,5654291,5635841,5913311,5665283,5847378,5826770,5827359,6054262,5644261,5556534,5766381,5708038,5879097,5810683,5731027,5628687,5784661,5810589,5745072,5941937,5910784,5724630,
6359168,7050575,6331344,7320775,6023909,6270356,6086118,6296926,6102096,6286904,6365760,6292934,6163678,6096602,6069825,6080164,6021225,6020928,6524962,6363088,6271843,6321688,6058752,6287225,6156782,6173595,6195763,6072669,6223857,6140540,6004307,6163193,6011008,6099157,6333981,6232938,6104871,6143009,6094502,6114044,6166755,6133442,5972151,6218018,6100645,6261135,6203955,6122610,6166759,6079460,
6595667,7411617,6848504,7246235,6522393,6377253,6366719,6616083,6564956,6528268,6519299,6546496,6981672,6372493,6463539,6668591,6587726,6459791,6716563,6657286,6662272,6536728,6477324,6624970,6428092,6724652,6617384,6568313,6483001,6397383,6405378,6541651,6425050,6654442,6509019,6481870,6667099,6509667,6561080,6579943,6607667,6554305,6603533,6481957,6761254,6537818,6683020,6617050,6506874,6578657,
7145906,8266557,7691995,7816255,7169955,7133213,7152005,7128506,7150547,7042561,7081358,7192426,6991502,7434189,7180716,6973381,7188187,7223648,7283834,7075382,7325034,7056046,7068857,6942178,7027818,7289442,7116484,7230994,7128325,6862618,7218063,7274978,6965945,7417583,7370222,7065861,7329842,6930489,7260119,7092822,7147180,7169812,7041805,7164078,7267734,6928353,7288406,7073338,7070434,7142130,
7442028,8549879,8267910,7769961,7826102,7468774,7783982,7535734,7486047,7476507,7765607,7663778,7640629,7553342,7556089,7514557,7772051,7667888,7540383,7591187,7621780,7633267,7506979,7500368,7606533,7757849,7398133,7733578,7591718,7405311,7879286,7771195,7737767,7534877,7667984,7588199,7633645,7469659,7686407,7482867,7573417,7745580,7598471,7553235,7571528,7630294,7604845,7740896,7657192,7767868,
9028534,8735570,8421258,9085336,8566974,8417161,8180145,7969384,8211306,8187802,8119497,8120485,8212719,7961670,8281567,8035130,8079528,7984699,8044337,8333922,8063195,8067769,8064822,8067408,8198126,8055598,8081109,7997571,7952058,7949132,8104469,8347580,8221985,8064726,8370755,8057592,8185329,8425008,8320016,8023969,8177366,8099840,8132116,8166953,8183666,8070859,8112747,8005821,8195118,8157046,
8731122,9255127,10368257,8774381,8640001,8474983,8698670,8543199,8823854,8847304,9576510,8732753,8664130,8617822,8677013,8669556,8726409,8736294,8564107,8467205,8657641,8903595,8616696,8585731,8776315,8523831,8809339,8511559,8696913,8576264,8503435,8469716,8943378,8520808,8722396,8651387,8614321,8558379,8757969,8801116,8822590,8787828,8546321,8771129,8711485,8650786,8725628,8730307,8729142,8795489,
9514868,10019527,11794458,10286869,10251074,9582435,9305077,9114961,9193610,9279228,9310776,9252150,9226582,9550329,9309580,9393728,9013508,10664989,9112133,9501254,9136841,9104313,9496922,9145634,9530779,9088676,9033156,9259173,9206464,9572449,9228037,9201100,9176501,9109699,9169372,9084284,9063254,9168022,9134830,9231548,9192678,9249745,9175411,9142978,9116216,9123985,9111033,9181002,9457515,9440595,
10184086,9800148,11540070,9798058,9573121,9706691,9800118,9753417,9700231,9684556,9634365,9743316,10128392,9701104,10094022,10073878,9889623,9834178,9730624,10077466,10088068,11238261,10053570,10058315,9897212,9864723,10202005,9868087,9934083,9996495,9939529,10104633,10228104,9733450,10108989,10185412,9741390,10127950,9975179,9889791,10089456,10009546,9747415,10023623,9818234,9924211,10005372,9906949,9735467,10093243,
11021089,10900885,11721358,10278370,10971059,10670163,10420756,10761988,10668712,10392931,10886439,10667269,10674608,10827065,10503840,10342182,10749065,10564751,10236396,10788213,10628804,10374078,11383503,10490893,10790305,10683063,10405392,10808621,10593319,10565089,10366804,10355457,10744960,10495400,10572319,10370668,10808009,10581403,10589494,10429700,10824535,10668311,10376106,10845250,10455768,10882065,10394853,10433426,10824301,10609504,
12346825,11652211,12035425,11412998,11415105,11324134,11023786,11219302,11253697,10946857,11390229,11253180,11157959,10997742,11391485,10980266,11338198,10940921,10879872,11304631,12307118,11072387,11264631,11075737,11629988,11073707,10934897,11145384,11002658,11316024,10981400,11474140,11407706,11224009,11274921,11129724,11091812,11375058,11166112,11303441,11044427,11076814,11231005,11171493,11224893,10970123,11383489,11333057,11105263,11128818,
12529884,12557955,12258607,12280542,11971428,11954424,11753106,12191283,12194336,11731758,11753695,11727684,12269040,12244539,11722465,12258583,11735229,12139914,11939166,11963993,11672604,11683261,11621763,11689791,11671309,11748723,11605864,11676911,11692026,11553031,11724981,11622248,11665972,11558325,11628839,11764076,11667583,11660266,11768408,11664242,11770110,11773676,12152092,11983657,11680213,13265288,11702774,11606940,11720380,11607814,
