
n:1
1434;994;1609;1475;1161;1443;1676;1654;1273;1148;1104;1316;1016;1030;1175;1147;1464;1461;1484;1093;1028;1041;1394;1373;995;
n:2
1303;1114;1142;1119;1129;1203;1082;1824;2246;1489;1184;1118;1201;1153;1137;1103;1080;4885;1282;4320;1173;1540;1405;1403;1766;
n:3
2107;1814;1654;1815;1542;1774;1960;1610;2055;1903;2498;1421;1323;1901;1318;1355;1324;1728;1472;1466;12251;1954;1749;1975;1628;
n:4
1777;1612;3919;1908;1752;1652;1632;1464;2304;2185;1573;2653;2009;2513;2127;1646;2120;1815;2081;1649;1419;1629;1764;1597;1393;
n:5
2451;1532;1646;1760;1686;2485;1720;1637;2088;2045;2038;2447;1686;2229;2127;2951;2174;2237;1947;1956;1952;1629;2215;2654;1581;
n:6
2967;1843;2481;2596;2060;2868;1499;1762;1976;2028;2746;1876;1728;2188;1617;1831;2713;2388;1859;2557;1972;1538;2701;2335;2048;
n:7
3071;1906;2123;2759;3056;1938;4638;2053;2743;2781;2790;3376;4410;3131;3156;2607;3566;3446;3396;4649;2407;2496;2607;2422;3800;
n:8
2601;2041;5213;2299;2281;5004;3037;2509;4158;3402;3648;3862;3096;5352;3254;6916;3597;4587;3117;4869;3525;4044;3032;11209;2627;
n:9
1937;3654;3578;2016;4306;3024;9417;6215;4722;10496;7057;3019;7502;7928;6589;8977;3739;3661;4551;2507;11575;6094;3413;4619;3202;
n:10
3365;8319;10835;7958;8375;10401;7186;6538;4697;13660;12663;4375;5976;8050;5392;9007;4357;9273;4472;9795;22777;12525;2572;11671;5699;
n:11
12903;9589;17089;10121;17129;14629;12622;22895;10233;10513;6046;9940;4571;4397;19725;20863;16585;5842;10666;5924;23718;12060;7038;8812;13183;
n:12
15605;9190;13041;9647;14646;28399;29571;17073;4267;42426;16508;20258;29757;14951;21003;10800;9167;8079;13624;8299;23439;26230;18630;13631;23671;
n:13
11028;25764;13474;41277;14477;64071;42220;35667;25834;21418;20248;16342;10516;21397;25717;35121;38227;15491;22013;34283;42736;29615;21537;19628;31510;
n:14
30597;60835;35569;125871;60965;26174;17669;72825;24809;21949;86767;24301;27487;29606;39098;13840;24059;41667;67286;29201;51038;19645;47882;19183;91098;
n:15
35144;69580;87107;28193;69675;58830;80936;43748;89421;74010;27612;67043;63287;24458;63737;105424;103112;36807;105813;43602;99555;35828;71395;80418;75111;
n:16
193125;75453;96677;90199;122039;59213;71297;20080;165397;164794;104097;80401;155145;190721;73798;129622;72534;9324;144286;122913;63527;26140;116622;146221;127496;
n:17
179867;99605;56094;174954;198247;170370;164200;124039;158044;348172;151113;24360;134182;114466;191523;49691;129404;250002;79233;52436;119422;155127;127358;82101;40906;
n:18
