R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
582170,741860,1317684,536509,757144,1405760,573661,240785,943352,1206717,1196943,537293,1062151,282083,891854,1007862,2207164,525463,757735,936672,832219,686705,1206507,1403050,991018,164662,689792,446071,444625,1372938,567247,779401,1135645,1223223,311348,931685,588337,466156,182744,1172715,817848,779756,723716,240100,591933,1366773,194051,1182656,541164,984435,
1945723,484369,438989,1028202,1291186,1029721,1011512,1996291,654880,2281739,865799,2123423,523565,895459,1828976,444823,568476,859071,622989,520083,2475004,2737517,331023,809970,2729354,2810287,1017634,196130,1618164,459492,928733,885047,1873456,605478,862130,2551134,2053941,3208028,481527,766429,385990,248512,1049725,1516525,1177714,259733,446346,1375407,1620598,845133,
6727176,1960410,609543,1118465,1573410,2158781,2063767,2041749,1033023,1915467,2028178,1356245,2352128,2881311,3408103,2254115,1375873,1583649,3143263,2472630,482075,2382708,893293,2285489,1440476,1361296,987084,238977,1054509,1683474,1670635,649885,643390,1452004,384458,1677142,2425831,538677,900220,4427437,2458721,401448,831137,1218937,967492,3188485,1830364,2753770,3047178,2316659,
3967509,1948425,1896802,2860729,3574871,2860392,2226009,2462692,4334047,1491336,1090189,1934461,961069,1681465,715468,3152497,1007438,936340,2372934,5219865,2348012,5537994,2770826,3385305,1350536,2696165,3373030,2163669,1829651,2224359,3823403,891139,8093071,2387537,1943438,2692496,1411446,2733588,1296077,2165870,1180231,2093017,2015298,2041542,3641518,2320947,1620052,1087208,6930444,1718812,
2952001,4105151,3887004,5194302,7318245,4000478,3483538,10303894,4367587,2833563,6228182,2893091,1745339,3584645,1248885,2612280,4696674,4127235,914053,6160830,2548822,3003005,7255368,6471241,3542415,4284566,1466875,4345230,2845596,4235008,4665805,1669058,4806094,3952990,2699133,3032318,1562583,4750193,1637268,5264223,1278804,4836960,8257597,3987246,1267220,3466957,4150823,3240191,2751138,4050700,
1682008,5151539,4581813,3792136,6735401,5045243,4944405,3421157,5841549,1779782,6539778,14851854,3500866,4077677,2363923,6370545,4615913,2080037,2394656,2258032,6169882,5494995,7349223,4928119,4201603,6241196,5325640,2355164,9494626,4879873,6710450,6348695,7053601,4367737,4651981,4166631,6003882,9642628,2383254,4229708,4061479,5711079,5335904,3348166,7622056,4022168,3912433,9561658,8434489,9804991,
7802793,6610997,4819888,6668194,11405634,4665567,7268511,2645231,8574865,2458387,2272311,5835385,5555287,12763713,12330525,2677199,7341434,9525914,12737324,12345427,6898557,11216135,3081464,8108942,10718211,9560763,2003671,6762438,10684705,8433404,3553772,14340291,1681378,9490083,4958728,12677681,10608548,2282569,8347465,6911068,7114676,3915897,4704804,7079617,5157156,7099533,6504950,2819381,10430163,2206364,
6563024,29603990,7191595,3274507,5257776,2350582,8083910,10389795,23620443,3652300,10558135,10491495,6194977,7057507,23165099,11154176,9626921,5549487,10139554,6512712,18679647,13108096,8978991,19234259,10872350,13033214,7941450,8074006,25194194,7015204,7815954,7714634,18948595,21091202,2496627,27288759,13267331,19663713,5264552,2442593,4082461,13055153,6463402,10588212,11195485,26860839,14146798,6194630,3695581,10284120,
7907690,25945693,13954653,16034474,16468132,7018073,10570707,9039143,13242776,10108475,4325311,27326463,27826775,13172601,15229783,13993743,13216863,8385997,15846034,11818502,16088045,14777348,16823834,10292840,10800167,10620422,27384613,5249362,17253235,24662708,7429950,29144875,4985440,33913042,5858295,3583924,15098763,22362016,11542876,4691999,17535562,15868143,18149025,16391197,17013474,11322413,18268455,15972308,10407243,23871884,
20140753,14367813,9292295,27139139,15934752,26012049,26487690,19966852,28805577,14058477,26197818,7935758,10514845,8570923,4863895,32114373,41282960,33208171,23860046,25474298,36029186,17101847,11479743,14267841,15574874,28210189,24700376,14594490,29897787,28505738,15025883,26513341,14277142,22912348,46344809,10227072,28149197,12198664,32348887,24356720,22322872,21629081,16013880,19291699,20414562,27279504,34989722,25554570,10743929,10938411,
