R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
138681,117939,159605,144106,152393,120770,121596,157364,124516,120336,117535,122582,158379,123786,141609,134419,170988,127497,120873,165753,163835,121298,117060,129704,119059,119212,117431,144328,160344,116980,119510,127365,171942,163355,119156,186539,117913,185502,167516,181051,151340,159556,117994,117718,117686,140518,162510,176600,117082,117816,
132777,135693,134525,136528,171545,179469,151186,169483,162109,137008,158584,170454,133549,170068,133143,182159,165939,177488,147836,170183,141990,202344,167950,132718,138824,134814,133040,137462,132297,133649,134569,134747,191749,136533,136367,136575,134079,134144,134310,136332,136736,132692,132821,172633,173107,132929,133486,136744,131825,160760,
149105,150506,153767,149617,187408,149077,166097,156065,183052,150249,149191,153854,149463,148264,148029,152219,220946,165831,170415,151083,153807,205118,149961,150642,151153,150946,149878,151762,168657,173320,149326,154091,212787,150442,152165,153979,149601,153174,153442,151385,153474,174752,151290,218657,192032,149439,182566,155683,192542,151526,
168777,166775,171266,167002,167701,171236,208463,167644,194342,168176,170037,168331,252998,167291,168691,170442,190731,223760,211718,180059,167990,226254,170283,168186,218726,167669,167428,167951,214140,167224,167454,172406,166500,173309,170890,170837,172537,169460,168027,167753,169250,167883,167983,169482,166600,167749,168527,237880,244835,213667,
206213,252021,251660,270132,252116,212559,213021,204337,189053,186902,270677,242839,187291,193008,187154,213673,202024,186998,189939,185201,187283,186986,187095,187657,191059,185699,188239,186327,249021,188003,187808,230833,240361,191838,266821,191911,200565,188708,188769,186135,186001,221532,186888,250883,185787,234121,188879,185423,186069,186208,
209344,208487,280203,209317,206553,210989,225188,238967,210506,209372,208517,211546,261002,266218,208678,210926,232209,232444,210580,207812,266512,209385,207197,206147,206960,208220,208225,211119,237127,206282,208531,212160,209294,208629,227105,227387,271542,279600,208796,208363,207998,218159,209933,207490,205813,205742,208546,208079,220181,272761,
314509,303022,246978,275596,310594,336022,258705,265064,242049,233043,293194,241977,236822,232475,303332,266326,248687,392480,262021,228494,235177,231815,230575,231125,229619,230410,245696,231628,232316,237120,233859,236560,233621,236838,236343,231038,230063,229537,236546,236461,231895,234078,233920,230384,230249,230974,236561,232973,235422,236773,
252857,294324,256545,252445,254616,253849,378351,383165,253442,256763,296967,252537,285344,255950,267710,314345,321633,316569,334209,305964,295500,261264,263983,255758,255958,344601,258836,341191,354778,296694,275479,287722,340747,255001,276897,343618,258180,268487,344150,258131,261301,318184,257683,256935,326190,361320,325329,341700,323849,253308,
316791,278580,346265,385638,376674,382610,299963,281513,342482,283450,288840,295200,346982,330242,350057,306495,293165,278515,382175,376393,279516,279479,342980,288275,278872,283996,283815,279163,303510,341392,342682,283311,318191,359661,409738,420514,451523,303667,277697,345167,410626,375494,278105,281777,378182,279945,278406,338044,281641,361546,
405470,306681,311878,402066,377077,343735,349214,365419,415564,380597,360064,305957,371338,392912,367216,333128,308291,399635,310079,305890,314260,306182,308093,306284,419943,304540,311594,313244,315647,310241,314362,310254,306157,308461,381217,306872,315886,309669,308056,305149,329055,415513,414579,330581,305490,381679,346239,359941,365739,312323,
374932,427419,461727,333505,338151,617653,454911,345576,359415,457034,392665,334808,401182,474353,489490,360747,338898,396117,420833,335201,337157,334513,344232,337354,377804,334310,336506,430430,405390,337391,337227,382282,439167,456876,365898,340686,335479,342406,336011,334954,370142,350851,416458,340811,376496,413483,480007,394299,335551,337543,
429053,375857,371827,480824,365871,415754,421712,372653,370182,404617,367935,376665,365592,373286,427774,573336,375062,373809,371717,370390,366060,372989,372224,370592,415910,370055,366739,367667,365973,369818,371838,369702,370503,366719,371448,366800,398969,397459,370977,367423,367582,369075,377126,370221,374746,366322,374440,374168,437494,368244,
407375,404307,398151,401686,403816,475139,468539,436282,406704,459967,410234,453766,459702,571706,545325,404878,546751,521858,401838,398420,443568,443182,442335,430545,504285,411403,399468,406971,470200,528580,475871,410123,469551,445948,516817,509723,519703,458557,415527,420218,570259,475907,406509,409258,422028,456291,486307,524587,538490,468352,
500518,445424,512217,468372,533143,558519,535161,433388,435761,518876,436136,433474,587285,599933,474872,435122,518224,443483,514404,440738,433798,438153,438498,436112,443836,480959,444374,439376,440001,442654,435533,437898,498317,437439,435806,434345,444708,436433,434954,445777,461461,436412,446140,434761,545397,494099,451006,442114,482039,439763,
477293,478189,471447,474488,472701,674904,675032,490276,470396,616717,607556,543814,599049,528385,500226,554599,674389,650564,595283,521721,514958,501338,506610,570696,473595,518130,652080,640687,589503,611975,478705,541415,608371,549211,583114,536593,585139,541315,592765,571582,494650,477107,528064,480882,477961,473426,582172,565716,545805,560852,
580181,608466,510311,527606,520007,538370,635299,511530,560743,522919,553860,521538,600184,585266,597580,509804,519934,518891,519821,532240,553371,575471,511267,511588,511475,568060,509632,555529,513280,511108,521038,517463,509081,514738,549660,556245,545535,549130,540989,511842,514364,514943,519925,514445,565281,514224,510271,512905,521050,515491,
553363,553151,550943,563870,582906,563967,597048,553954,619865,554366,557750,650798,693907,632114,608638,712416,712312,634628,651917,680168,755827,574569,820658,619849,592089,559353,595956,554230,558361,552288,561176,561166,556871,555131,556417,553757,620650,551439,560913,596242,556741,634950,556275,604178,558605,778282,676014,664656,626535,650015,
595729,597602,626713,619590,614043,687334,665322,662266,597355,608354,604303,599607,644095,729784,603224,594587,603582,606336,600247,598138,604848,599295,606836,599067,630320,598294,598321,658078,613182,640061,603362,600261,600602,602161,596158,607359,597091,605111,596170,626886,605248,608680,660355,636985,628003,596165,593895,600955,599629,598280,
644230,649763,856824,730437,846659,769237,724404,642568,644154,726071,840657,739221,746745,647298,653816,645884,647736,642287,657789,642305,645017,644591,641105,643942,641856,667998,641925,712767,655190,690237,642115,702425,696565,673245,708413,645926,646251,653257,646573,639387,641665,656219,684555,641208,665552,682109,676328,718650,770652,854526,
